x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-34.0223,204.006,-45.9541,-0.413548,-1.56756,-1.84143,6654.22,-3.56323,-286.308
-33.7924,198.866,-46.6076,-0.482529,-1.54325,-1.90383,6654.22,-3.56323,-286.308
-33.6577,193.743,-47.1314,-0.560707,-1.51638,-1.96371,6654.22,-3.56323,-286.308
-33.6392,188.637,-47.4973,-0.651704,-1.49408,-2.02105,6654.22,-3.56323,-286.308
-33.7662,183.567,-47.6515,-0.751058,-1.46887,-2.07591,6654.22,-3.56323,-286.308
-33.9389,204.472,-41.4626,-0.382722,-1.63052,-1.82708,6654.22,-3.56323,-286.308
-33.9296,201.934,-41.6303,-0.413264,-1.62266,-1.86068,6654.22,-3.56323,-286.308
-33.8356,199.375,-41.9214,-0.444125,-1.61083,-1.89372,6654.22,-3.56323,-286.308
-33.724,196.809,-42.2421,-0.477741,-1.59798,-1.9238,6654.22,-3.56323,-286.308
-33.6261,194.244,-42.5483,-0.510385,-1.58564,-1.95952,6654.22,-3.56323,-286.308
-33.555,191.684,-42.8099,-0.549883,-1.57266,-1.9858,6654.22,-3.56323,-286.308
-33.506,189.126,-43.0411,-0.589177,-1.56183,-2.016,6654.22,-3.56323,-286.308
-33.5052,186.582,-43.204,-0.631408,-1.54827,-2.04398,6654.22,-3.56323,-286.308
-33.5706,184.054,-43.2659,-0.6756,-1.53545,-2.07238,6654.22,-3.56323,-286.308
-33.704,181.541,-43.2284,-0.722816,-1.52587,-2.09586,6654.22,-3.56323,-286.308
-33.6663,204.875,-37.3002,-0.359469,-1.70018,-1.8142,6654.22,-3.56323,-286.308
-33.7556,178.999,-43.3208,-0.766955,-1.51981,-2.12451,6654.22,-3.56323,-286.308
-33.7267,202.371,-37.3462,-0.375873,-1.68659,-1.85569,6654.22,-3.56323,-286.308
-33.1174,147.358,-50.9443,-1.32967,-1.36401,-2.51757,6654.22,-3.56323,-286.308
-33.5616,173.832,-43.9381,-0.851275,-1.49839,-2.19173,6654.22,-3.56323,-286.308
-33.5604,171.265,-44.1066,-0.898094,-1.49506,-2.21687,6654.22,-3.56323,-286.308
-33.5655,168.705,-44.2643,-0.940958,-1.48623,-2.24762,6654.22,-3.56323,-286.308
-33.5618,166.144,-44.4331,-0.981999,-1.47453,-2.28064,6654.22,-3.56323,-286.308
-33.5949,163.588,-44.5461,-1.02178,-1.46756,-2.31319,6654.22,-3.56323,-286.308
-33.6356,161.032,-44.6417,-1.05748,-1.46298,-2.34559,6654.22,-3.56323,-286.308
-33.5842,158.446,-44.8681,-1.0914,-1.45804,-2.37662,6654.22,-3.56323,-286.308
-33.4094,205.26,-33.134,-0.354014,-1.78418,-1.7729,6654.22,-3.56323,-286.308
-33.2232,153.191,-45.7185,-1.15054,-1.44204,-2.45411,6654.22,-3.56323,-286.308
-33.4346,202.779,-33.2165,-0.341916,-1.75104,-1.85003,6654.22,-3.56323,-286.308
-33.5768,176.955,-39.0681,-0.724836,-1.57616,-2.14926,6654.22,-3.56323,-286.308
