point_index,x,x_rot,x_0,x_0_rot,x_proj,y,y_rot,y_0,y_0_rot,y_proj,z,z_rot,z_0,z_0_rot,z_proj,u,u_rot,v,v_rot,w,w_rot,Crosshead,Force,g,h,Element
0,-33.9278,9.500593404156305,-33.608725,9.493921091501406,9.493921091501406,204.613,-8.837899550786961,205.573337,-8.513867268285995,-6.0,-44.1101,401.7426160829651,-44.112645150000006,402.7012719453182,402.7012719453182,-0.319075,0.006672312654893223,-0.960337,-0.3240322825009612,0.00254515,-0.9586558623530712,-2.36547,-138.022,0.4178139628196019,0.08050877812727322,164.0
1,-33.6529,8.924035948479506,-33.309896,8.925189035581788,8.925189035581788,199.46,-8.58958076605703,200.409539,-8.241676162470394,-6.0,-44.709,396.58571973599476,-44.70376873,397.5334879010711,397.5334879010711,-0.343004,-0.0011530871022754664,-0.949539,-0.3479046035866412,-0.00523127,-0.9477681650763249,-2.36547,-138.022,0.21306984940502185,0.013395160428444797,163.0
2,-33.4705,8.482203380973573,-33.09696,8.48356773415371,8.48356773415371,194.322,-8.433693204175295,195.259755,-8.055313899159824,-6.0,-45.1731,391.44488458374985,-45.167711419999996,392.3807119517809,392.3807119517809,-0.37354,-0.001364353180131153,-0.937755,-0.37837930501547956,-0.00538858,-0.9358273680309872,-2.36547,-138.022,0.05408573573539533,-0.047715219287647416,162.0
3,-33.3958,8.189172458621542,-32.987512,8.197272129480837,8.197272129480837,189.204,-8.385411871833089,190.131288,-7.972339599698888,-6.0,-45.4883,386.32525008793095,-45.4762247,387.25046014288637,387.25046014288637,-0.408288,-0.00809967085929533,-0.927288,-0.41307227213419867,-0.0120753,-0.9252100549554187,-2.36547,-138.022,-0.04898097053361635,-0.09981594284545281,161.0
4,-33.463,8.111278651665884,-33.015063,8.119891118199135,8.119891118199135,184.12,-8.478868886795158,185.035535,-8.026208896955882,-6.0,-45.5882,381.24128011919436,-45.5756666,382.1545346020207,382.1545346020207,-0.447937,-0.008612466533244368,-0.915535,-0.4526599898392654,-0.0125334,-0.9132544828263768,-2.36547,-138.022,-0.07683821259530674,-0.13818615919171862,160.0
5,-33.8611,13.9791018977295,-33.556235,13.9686878032944,13.9686878032944,205.134,-8.768839619698799,206.102825,-8.458973022791493,-6.0,-39.6293,402.2826617479088,-39.63554885,403.2498627877078,403.2498627877078,-0.304865,0.01041409443509498,-0.968825,-0.3098665969073127,0.00624885,-0.9672010397989628,-2.36547,-138.022,0.028723379398949273,0.29994511508311916,248.0
6,-33.8319,13.851111874077525,-33.516312,13.84566848392231,13.84566848392231,202.592,-8.75276239139519,203.55699800000002,-8.432193074622685,-6.0,-39.7683,399.7399667548167,-39.7695957,400.7033069349757,400.7033069349757,-0.315588,0.005443390155214246,-0.964998,-0.3205693167725122,0.0012957,-0.9633401801590272,-2.36547,-138.022,-0.015563221282197963,-0.7186772260097087,248.0
7,-33.7194,13.602334912788862,-33.391448,13.59872738419265,13.59872738419265,200.026,-8.653501339977577,200.98551500000002,-8.320596648605356,-6.0,-40.0282,397.17231848524375,-40.02768475,398.13011976026894,398.13011976026894,-0.327952,0.003607528596215751,-0.959515,-0.3329046913722129,-0.00051525,-0.9578012750251333,-2.36547,-138.022,-0.10446130600019805,0.252047904107576,247.0
8,-33.5868,13.320594832693502,-33.246244999999995,13.319301837150135,13.319301837150135,197.452,-8.53417945076146,198.406939,-8.188695737806075,-6.0,-40.3211,394.5964236713718,-40.31829122,395.54959387560905,395.54959387560905,-0.340555,0.00129299554336563,-0.954939,-0.34548371295537406,-0.00280878,-0.9531702042373109,-2.36547,-138.022,-0.20505369819636562,-0.7801624497563808,247.0
9,-33.4682,13.057240243734547,-33.115673,13.059958146639147,13.059958146639147,194.881,-8.428843234241118,195.829755,-8.071419923359233,-6.0,-40.5956,392.02368078473324,-40.588808209999996,392.97062252990304,392.97062252990304,-0.352527,-0.002717902904594537,-0.948755,-0.35742331088188345,-0.00679179,-0.9469417451697556,-2.36547,-138.022,-0.29841667987646797,0.18824901196121574,246.0
